	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	0, 55, 45,	0, 100, 0,	0, 15, 85,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 20, 80,	0, 20, 80,	0, 20, 10,	0, 0, 100,	40, 0, 60,	35, 20, 45,	0, 0, 0
K,	56, 44, 0,	0, 100, 0,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 25,	0, 0, 16,	0, 0, 100,	0, 12, 10,	0, 0, 0,	0, 0, 0,	0, 0, 0
Q,	15, 10, 75,	0, 30, 70,	0, 80, 20,	0, 0, 100,	0, 0, 100,	0, 44, 25,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0
J,	0, 30, 70,	0, 0, 30,	0, 0, 0,	30, 30, 40,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0
T,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	20, 15, 65,	0, 0, 100,	0, 20, 66,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 30,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 10, 90,	0, 0, 54,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 64,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 90,   0, 0, 10,	0, 0, 0,	0, 0, 0,    0, 0, 0
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 50,	0, 0, 58,	0, 0, 0,    0, 0, 0
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 18,	0, 0, 0,    0, 0, 0
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 10,	0, 0, 0
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
