	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	0, 100, 0,	0, 100, 0,	0, 0, 100,	0, 44, 56,	0, 35, 65,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 33, 37,	0, 0, 20, 	0, 0, 0,	0, 0, 0
K,	60, 0, 40,	45, 35, 20,	0, 27, 54,	0, 16, 47,	0, 23, 14,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0
Q,	0, 0, 0,	0, 0, 0,	0, 24, 76,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
J,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 42, 58,	0, 0, 20,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
T,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 17, 48,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 53,	0, 0, 40,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 33,	0, 0, 56,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 30,	0, 0, 90,   0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 27,   0, 0, 71,	0, 0, 0,	0, 0, 0,    0, 0, 0
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 33,	0, 0, 54,	0, 0, 0,    0, 0, 0
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 100,	0, 0, 0,    0, 0, 0
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 100,  0, 0, 0
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 100
